,funding_total_usd,status,funding_rounds,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,Advertising,Analytics,Apps,Biotechnology,Clean Technology,Cloud Computing,Curated Web,E-Commerce,Education,Enterprise Software,Finance,Games,Hardware + Software,Health Care,Health and Wellness,Internet,Manufacturing,Mobile,Other,SaaS,Search,Security,Semiconductors,Social Media,Software,Technology,Video,Web Hosting,CAN,CHN,DEU,ESP,FRA,GBR,IND,IRL,ISR,NLD,RUS,SGP,SWE,USA,other,market Analytics ,market Biotechnology ,market Clean Technology ,market Consulting ,market Curated Web ,market E-Commerce ,market Education ,market Enterprise Software ,market Fashion ,market Finance ,market Games ,market Hardware + Software ,market Health Care ,market Health and Wellness ,market Hospitality ,market Internet ,market Manufacturing ,market Messaging ,market Mobile ,market News ,market Real Estate ,market SaaS ,market Search ,market Security ,market Semiconductors ,market Social Media ,market Software ,market Technology ,market Travel ,market Web Hosting ,marketother,founded_at_1994,founded_at_1995,founded_at_1996,founded_at_1997,founded_at_1998,founded_at_1999,founded_at_2000,founded_at_2001,founded_at_2002,founded_at_2003,founded_at_2004,founded_at_2005,founded_at_2006,founded_at_2007,founded_at_2008,founded_at_2009,founded_at_2010,founded_at_2011,founded_at_2012,founded_at_2013,founded_at_2014
237,1500000.0,1,1,1.4833766568287072,-0.4573581358417581,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
256,15000000.0,1,3,-0.28543402023068215,0.08254163601920773,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.12103358404210662,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
257,272000.0,0,1,-0.28543402023068215,-0.4475679533120126,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
270,38064570.0,1,4,-0.28543402023068215,0.9127120414239596,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,0.8075624751348616,0.9251266808337895,1.3478357986969258,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
288,9416354.0,1,6,-0.28543402023068215,-0.12815050664444927,-0.027330616887730176,-0.058510522537402306,0.9612245524939087,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,0.09224223956115571,-0.22196793830047273,-0.21429429077399906,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
310,12900000.0,1,6,1.365455945024748,-0.1154216136631464,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,0.043666530069603235,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,0.31789557328335794,0.1817694787329917,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
333,30000000.0,1,2,-0.28543402023068215,0.6224414078801735,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,1.0700733523573653,1.6957847926084835,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
342,12800000.0,1,3,-0.28543402023068215,-0.007441659290953235,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,0.2731963039811173,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,0.386275371380995,0.434105364378907,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
346,3987693.0,1,2,4.416881949925977,-0.4573581358417581,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
351,17129760.0,1,4,-0.28543402023068215,0.09342097635538744,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,0.03346120213469772,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
